user_id,first_name,last_name,age,genres,roles,skill_proficiency,skill_engagement,location,ok_not_local,weekly_time,considers_age,age_limit
user_015,Bob,Dylan,84,Folk | Rock | Blues,singer,intermediate,serious hobbyist,"Duluth, Minnesota | New York City, New York",FALSE,20,FALSE,5
user_016,Aretha,Franklin,,Soul | R&B | Gospel,singer,expert,professional,"Memphis, Tennessee | Detroit, Michigan",TRUE,5,FALSE,15
user_017,Beyoncé,,44,R&B | Pop | Hip Hop,singer,advanced,professional,"Houston, Texas",TRUE,10,FALSE,20
user_018,Taylor,Swift,36,Pop | Country | Folk | Rock,singer,expert,professional,"Reading, Pennsylvania | Nashville, Tennessee",FALSE,5,FALSE,20
user_019,Drake,,39,Hip Hop | R&B | Pop,singer,beginner,professional,"Toronto, Canada",TRUE,15,TRUE,20
user_020,Rihanna,,37,R&B | Pop | Dance | Reggae,singer,advanced,hobbyist,"Saint Michael, Barbados | New York City, New York",FALSE,25,FALSE,999
user_021,Eminem,,53,Hip Hop,singer,advanced,professional,"St. Joseph, Missouri | Detroit, Michigan",TRUE,35,TRUE,15
user_022,Kanye,West,48,Hip Hop | Pop | Gospel,singer,expert,hobbyist,"Atlanta, Georgia | Chicago, Illinois",TRUE,35,FALSE,999
user_023,Jay,Z,56,Hip Hop,singer,intermediate,serious hobbyist,"Brooklyn, New York",FALSE,15,TRUE,10
user_024,Fleetwood,Mac,,Rock | Pop Rock | Soft Rock,drummer|songwriter|actor|guitarist|singer,advanced|expert|intermediate|intermediate|advanced,semi-professional|semi-professional|professional|semi-professional|serious hobbyist,"London, England | Los Angeles, California",TRUE,40,TRUE,15
user_025,AC,DC,,Hard Rock | Blues Rock,singer,expert,serious hobbyist,"Sydney, Australia",TRUE,5,FALSE,10
user_026,Metallica,,62,Heavy Metal | Thrash Metal,singer|guitarist|songwriter|drummer|bassist,intermediate|advanced|advanced|advanced|beginner,professional|serious hobbyist|professional|hobbyist|semi-professional,"Los Angeles, California | San Francisco Bay Area, California",FALSE,35,FALSE,10
user_027,Nirvana,,57,Grunge | Alternative Rock,musician,advanced,serious hobbyist,"Aberdeen, Washington | Seattle, Washington",FALSE,35,FALSE,15
user_028,Radiohead,,,Alternative Rock | Art Rock | Electronica,singer,expert,professional,"Abingdon, England",FALSE,40,TRUE,999
user_029,U2,,,Rock | Alternative Rock | Post-Punk,singer,advanced,semi-professional,"Dublin, Ireland",FALSE,35,TRUE,10
user_030,Bruce,Springsteen,76,Rock | Heartland Rock | Folk,singer,intermediate,serious hobbyist,"Freehold, New Jersey",FALSE,35,FALSE,5
user_032,Paul,McCartney,83,Rock | Pop,singer,advanced,professional,"Liverpool, England",TRUE,10,TRUE,10
user_033,George,Harrison,,Rock | Pop | Folk Rock,singer,intermediate,professional,"Liverpool, England",FALSE,25,TRUE,10
user_034,John,Lennon,,Rock | Pop,singer,advanced,serious hobbyist,"Liverpool, England",TRUE,15,TRUE,20
user_035,Ringo,Starr,85,Rock | Pop | Country,singer,intermediate,serious hobbyist,"Liverpool, England",TRUE,30,FALSE,15
user_036,Frank,Sinatra,110,Traditional Pop | Jazz | Swing,singer,advanced,serious hobbyist,"Hoboken, New Jersey",TRUE,25,TRUE,999
user_037,Ray,Charles,,Soul | R&B | Blues | Country,singer,advanced,professional,"Albany, Georgia | Seattle, Washington",TRUE,15,TRUE,999
user_038,Marvin,Gaye,,Soul | R&B,singer,beginner,semi-professional,"Washington, D.C. | Detroit, Michigan",FALSE,35,FALSE,10
user_039,James,Brown,,Funk | Soul | R&B,singer,expert,serious hobbyist,"Barnwell, South Carolina | Augusta, Georgia",TRUE,25,TRUE,20
user_040,Tina,Turner,,R&B | Soul | Rock | Pop,singer,advanced,professional,"Nutbush, Tennessee | St. Louis, Missouri",TRUE,35,TRUE,15
user_041,Diana,Ross,81,R&B | Soul | Pop | Disco,singer,advanced,professional,"Detroit, Michigan",TRUE,5,FALSE,10
user_042,Dolly,Parton,80,Country | Pop,singer,intermediate,professional,"Sevierville, Tennessee | Nashville, Tennessee",FALSE,20,TRUE,15
user_043,Johnny,Cash,,Country | Rock and Roll | Folk,singer,advanced,semi-professional,"Kingsland, Arkansas | Nashville, Tennessee",FALSE,5,TRUE,20
user_044,Willie,Nelson,92,Country | Outlaw Country,singer,intermediate,professional,"Abbott, Texas | Austin, Texas",FALSE,15,TRUE,999
user_045,Bob,Marley,81,Reggae | Ska,singer,advanced,hobbyist,"Nine Mile, Jamaica | Kingston, Jamaica",FALSE,30,FALSE,999
user_046,Jimi,Hendrix,27,Rock | Psychedelic Rock | Blues Rock,singer,advanced,professional,"Seattle, Washington | London, England",FALSE,25,FALSE,15
user_047,Eric,Clapton,80,Rock | Blues,singer,advanced,semi-professional,"Ripley, England | London, England",TRUE,10,TRUE,999
user_048,Carlos,Santana,78,Latin Rock | Blues Rock | Jazz Fusion,singer,expert,hobbyist,"Autlán, Mexico | San Francisco, California",TRUE,40,FALSE,10
user_049,Neil,Young,80,Rock | Folk Rock | Country Rock,singer,expert,semi-professional,"Toronto, Canada | California, USA",TRUE,40,FALSE,999
user_050,Joni,Mitchell,82,Folk | Jazz | Pop,singer,expert,hobbyist,"Fort Macleod, Canada",TRUE,30,FALSE,999
user_052,Adele,,37,Soul | Pop | R&B,singer,advanced,serious hobbyist,"London, England",FALSE,10,TRUE,5
user_053,Ed,Sheeran,34,Pop | Folk Pop | Soft Rock,singer,expert,professional,"Halifax, England | London, England",TRUE,5,TRUE,20
user_054,Bruno,Mars,40,Pop | R&B | Funk | Soul,singer,intermediate,semi-professional,"Honolulu, Hawaii | Los Angeles, California",FALSE,25,TRUE,20
user_055,Lady,Gaga,39,Pop | Dance | Electronic,singer,advanced,professional,"New York City, New York",TRUE,5,FALSE,15
user_056,Katy,Perry,41,Pop | Disco | Rock,singer,advanced,professional,"Santa Barbara, California | Los Angeles, California",FALSE,5,TRUE,10
user_057,Justin,Bieber,31,Pop | R&B,singer,advanced,hobbyist,"London, Ontario, Canada | Atlanta, Georgia",FALSE,40,TRUE,5
user_058,Ariana,Grande,32,Pop | R&B,singer,advanced,serious hobbyist,"Boca Raton, Florida | Los Angeles, California",TRUE,10,TRUE,999
user_059,The,Weeknd,35,R&B | Pop | Alternative R&B,singer,beginner,professional,"Toronto, Canada",TRUE,25,FALSE,5
user_060,Post,Malone,30,Hip Hop | Pop | Rock,singer,expert,serious hobbyist,"Syracuse, New York | Dallas, Texas",TRUE,25,TRUE,15
user_061,Kendrick,Lamar,38,Hip Hop,singer,intermediate,professional,"Compton, California",FALSE,20,TRUE,20
user_062,J,Cole,41,Hip Hop,singer,intermediate,professional,"Frankfurt, Germany | Fayetteville, North Carolina",TRUE,40,TRUE,10
user_063,Nicki,Minaj,43,Hip Hop | Pop,singer,expert,serious hobbyist,"Port of Spain, Trinidad | Queens, New York",TRUE,35,TRUE,10
user_064,Cardi,B,33,Hip Hop,singer,intermediate,semi-professional,"Bronx, New York",TRUE,25,TRUE,20
user_065,Snoop,Dogg,54,Hip Hop | G-Funk | Reggae,singer,expert,hobbyist,"Long Beach, California",TRUE,35,FALSE,10
user_066,Dr,Dre,60,Hip Hop | G-Funk,singer,expert,professional,"Compton, California",TRUE,15,TRUE,5
user_067,Tupac,Shakur,,Hip Hop,singer,intermediate,semi-professional,"East Harlem, New York | Oakland, California",TRUE,10,TRUE,15
user_069,Outkast,,51,Hip Hop | Funk | Southern Hip Hop,singer,expert,professional,"Atlanta, Georgia",TRUE,10,TRUE,15
user_070,Wu,Tang Clan,,Hip Hop,singer,expert,hobbyist,"Staten Island, New York",TRUE,15,FALSE,20
user_071,Public,Enemy,65,Hip Hop,singer,advanced,semi-professional,"Long Island, New York",TRUE,25,FALSE,5
user_072,Beastie,Boys,47,Hip Hop | Rap Rock | Punk,singer,beginner,serious hobbyist,"New York City, New York",FALSE,30,FALSE,5
user_073,Red,Hot Chili Peppers,63,Funk Rock | Alternative Rock,singer|songwriter|rapper|musician|composer|actor|guitarist|drummer,expert|advanced|expert|expert|expert|expert|intermediate|advanced,serious hobbyist|professional|semi-professional|professional|professional|semi-professional|hobbyist|serious hobbyist,"Los Angeles, California",FALSE,5,TRUE,999
user_075,Green,Day,53,Punk Rock | Pop Punk | Alternative Rock,singer,intermediate,serious hobbyist,"Berkeley, California",FALSE,40,TRUE,5
user_076,Pearl,Jam,61,Grunge | Alternative Rock,singer|musician,intermediate|expert,semi-professional|serious hobbyist,"Seattle, Washington",FALSE,30,TRUE,999
user_077,Guns,N Roses,,Hard Rock | Heavy Metal,singer,intermediate,semi-professional,"Los Angeles, California",TRUE,40,TRUE,5
user_078,Aerosmith,,,Hard Rock | Blues Rock,singer,intermediate,semi-professional,"Boston, Massachusetts",TRUE,15,TRUE,20
user_079,Bon,Jovi,62,Hard Rock | Glam Metal | Pop Rock,singer,advanced,professional,"Sayreville, New Jersey",TRUE,35,TRUE,999
user_080,Def,Leppard,66,Hard Rock | Glam Metal,singer,expert,professional,"Sheffield, England",FALSE,5,TRUE,10
user_081,Iron,Maiden,,Heavy Metal,singer,advanced,semi-professional,"London, England",TRUE,35,FALSE,10
user_082,Black,Sabbath,77,Heavy Metal,musician|songwriter,expert|expert,semi-professional|professional,"Birmingham, England",FALSE,20,TRUE,15
user_083,Deep,Purple,,Hard Rock | Heavy Metal,singer,expert,semi-professional,"London, England",FALSE,20,FALSE,15
user_084,The,Doors,,Psychedelic Rock | Blues Rock,singer,advanced,semi-professional,"Los Angeles, California",FALSE,35,TRUE,20
user_085,The,Who,81,Rock | Hard Rock,singer,advanced,semi-professional,"London, England",TRUE,5,FALSE,20
user_086,The,Kinks,81,Rock | Pop,singer,advanced,hobbyist,"London, England",FALSE,40,FALSE,5
user_087,The,Beach Boys,84,Rock | Pop | Surf Rock,singer,intermediate,serious hobbyist,"Hawthorne, California",FALSE,35,TRUE,5
user_088,Simon,Garfunkel,,Folk Rock,singer|composer,beginner|intermediate,semi-professional|professional,"Queens, New York",FALSE,25,FALSE,15
user_089,Hall,Oates,79,Pop Rock | Soul | R&B,singer,expert,serious hobbyist,"Philadelphia, Pennsylvania",TRUE,25,TRUE,15
user_090,Steely,Dan,,Jazz Rock | Soft Rock | Pop Rock,singer,advanced,professional,"New York City, New York | Los Angeles, California",TRUE,30,FALSE,15
user_091,Genesis,,,Progressive Rock | Pop Rock,rapper|singer|producer,advanced|expert|advanced,hobbyist|semi-professional|professional,"London, England",TRUE,35,FALSE,999
user_092,Phil,Collins,75,Pop Rock | Soft Rock,drummer|singer|songwriter|composer|musician,advanced|advanced|advanced|intermediate|intermediate,professional|semi-professional|hobbyist|serious hobbyist|semi-professional,"London, England",FALSE,25,TRUE,10
user_093,Peter,Gabriel,75,Art Rock | Pop | Progressive Rock,singer,advanced,semi-professional,"Chobham, England",TRUE,5,TRUE,999
user_094,Kate,Bush,67,Art Pop | Progressive Pop | Alternative,singer,beginner,serious hobbyist,"Bexleyheath, England",FALSE,35,FALSE,5
user_095,Björk,,60,Alternative | Electronic | Pop | Art Pop,singer,advanced,serious hobbyist,"Reykjavík, Iceland",TRUE,40,TRUE,10
user_096,Amy,Winehouse,42,Soul | R&B | Jazz,singer,intermediate,professional,"London, England",FALSE,35,FALSE,15
user_097,Lana,Del Rey,40,Alternative Pop | Dream Pop | Rock,singer,advanced,professional,"New York City, New York | Los Angeles, California",TRUE,25,FALSE,20
user_098,Billie,Eilish,24,Pop | Electropop | Alternative,singer,beginner,semi-professional,"Los Angeles, California",TRUE,20,FALSE,999
user_099,Dua,Lipa,30,Pop | Disco | Dance-Pop,singer,beginner,serious hobbyist,"London, England",TRUE,15,FALSE,10
user_100,SZA,,36,R&B | Neo Soul,singer,advanced,semi-professional,"St. Louis, Missouri | Maplewood, New Jersey",FALSE,15,TRUE,15
